Name;Mean;Lower 90% CI; Upper 90% CI; Lower 95% CI; Upper 95% CI;
Customers arrived;193,423;192,69543;194,15057;192,55611;194,28989;
Customers departed;192,776;192,04755;193,50445;191,90806;193,64394;
Customers in system;24,501846827170695;24,28531;24,71839;24,24384;24,75985;
Time in system;60,49794231469039;60,13711;60,85877;60,06802;60,92787;
Customers in system at the end;0,647;0,45037;0,84363;0,41271;0,88129;
Customers in check in queue;3,323087054853677;3,16629;3,47989;3,13626;3,50991;
Time in check in queue;7,990427331837742;7,63769;8,34316;7,57015;8,41071;
Customers in payment queue;0,5130568284624275;0,50554;0,52057;0,5041;0,52201;
Time in payment in queue;1,2746771821626803;1,25687;1,29249;1,25346;1,2959;
Customers in parking lot;0,8641660912744683;0,84551;0,88283;0,84193;0,8864;
Time in parking lot;1,6896955898994208;1,65098;1,72841;1,64357;1,73582;
Free clerks;4,704387614871596;4,69006;4,71871;4,68732;4,72146;
Free mechanics group 1;2,774151608349479;2,7485;2,79981;2,74358;2,80472;
Free mechanics group 2;3,485500479102892;3,44368;3,52732;3,43567;3,53533;
Labour costs;51900
Number of replications;1000
