Name;Mean;Lower 90% CI; Upper 90% CI; Lower 95% CI; Upper 95% CI;
Customers arrived;193,881;193,16017;194,60183;193,02213;194,73987;
Customers departed;44,266;44,18722;44,34478;44,17214;44,35986;
Customers in system;92,92409605473166;92,47055;93,37764;92,3837;93,46449;
Time in system;221,98931191142256;221,52645;222,45217;221,43782;222,54081;
Customers in system at the end;149,615;148,89455;150,33545;148,75659;150,47341;
Customers in check in queue;87,5167443770908;87,06297;87,97052;86,97607;88,05742;
Time in check in queue;188,54562086333112;188,07376;189,01748;187,98341;189,10783;
Customers in payment queue;0,5148135645164955;0,51117;0,51846;0,51047;0,51916;
Time in payment in queue;5,531914883472977;5,49206;5,57177;5,48443;5,5794;
Customers in parking lot;0,0019383405879821625;0,0014;0,00248;0,0013;0,00258;
Time in parking lot;0,006723851552296912;0,00483;0,00862;0,00447;0,00898;
Free clerks;0,0002612784653027041;0,00019;0,00033;0,00018;0,00035;
Free mechanics group 1;7,972614620115473;7,96117;7,98406;7,95898;7,98625;
Free mechanics group 2;10,572768401931297;10,56028;10,58525;10,55789;10,58764;
Labour costs;43100
Number of replications;1000
