Name;Mean;Lower 90% CI; Upper 90% CI; Lower 95% CI; Upper 95% CI;
Customers arrived;193,5967;193,49473;193,69867;193,4752;193,7182;
Customers departed;192,3175;192,2284;192,4066;192,21133;192,42367;
Customers in system;26,617411395180813;26,57912;26,6557;26,57179;26,66303;
Time in system;65,46447242486967;65,40142;65,52752;65,38935;65,53959;
Customers in system at the end;1,2792;1,25347;1,30493;1,24855;1,30985;
Customers in check in queue;5,063692037904113;5,03632;5,09107;5,03108;5,09631;
Time in check in queue;12,108250912329858;12,04823;12,16827;12,03674;12,17976;
Customers in payment queue;0,4644441407792525;0,46354;0,46534;0,46337;0,46552;
Time in payment in queue;1,1581230364874953;1,15592;1,16033;1,1555;1,16075;
Customers in parking lot;1,2744534408641564;1,27166;1,27724;1,27113;1,27778;
Time in parking lot;2,6897684894097527;2,68409;2,69545;2,683;2,69653;
Free clerks;7,515234135958329;7,51328;7,51718;7,51291;7,51756;
Free mechanics group 1;2,229310981107358;2,2252;2,23342;2,22442;2,2342;
Free mechanics group 2;2,1421775704799755;2,13777;2,14659;2,13692;2,14743;
Labour costs;51200
Number of replications;50000
