Name;Mean;Lower 90% CI; Upper 90% CI; Lower 95% CI; Upper 95% CI;
Customers arrived;194,126;193,4128;194,8392;193,27623;194,97577;
Customers departed;193,781;193,07325;194,48875;192,93773;194,62427;
Customers in system;24,2560430406534;24,05372;24,45836;24,01498;24,49711;
Time in system;59,69812341433884;59,37584;60,02041;59,31412;60,08212;
Customers in system at the end;0,345;0,20182;0,48818;0,1744;0,5156;
Customers in check in queue;2,9942246734297915;2,8587;3,12975;2,83275;3,1557;
Time in check in queue;7,167640962408802;6,86749;7,46779;6,81002;7,52526;
Customers in payment queue;0,46316550423030406;0,45634;0,46999;0,45503;0,4713;
Time in payment in queue;1,145658506650603;1,12943;1,16189;1,12632;1,165;
Customers in parking lot;0,9186821398201364;0,89936;0,938;0,89566;0,9417;
Time in parking lot;1,7842039049257432;1,74584;1,82256;1,7385;1,82991;
Free clerks;9,37879005938776;9,36481;9,39277;9,36213;9,39545;
Free mechanics group 1;2,7421207415686286;2,71766;2,76658;2,71297;2,77127;
Free mechanics group 2;3,440107910949757;3,39953;3,48068;3,39176;3,48845;
Labour costs;57400
Number of replications;1000
