Name;Mean;Lower 90% CI; Upper 90% CI; Lower 95% CI; Upper 95% CI;
Customers arrived;193,526;192,77713;194,27487;192,63373;194,41827;
Customers departed;193,525;192,77618;194,27382;192,63279;194,41721;
Customers in system;21,41762974089185;21,32448;21,51078;21,30664;21,52861;
Time in system;53,097663048325735;53,035;53,16033;53,023;53,17233;
Customers in system at the end;0,001;-0,00064;0,00264;-0,00096;0,00296;
Customers in check in queue;0,8539239219294034;0,83332;0,87453;0,82937;0,87847;
Time in check in queue;2,100574895367166;2,05345;2,1477;2,04442;2,15673;
Customers in payment queue;0,5058699191119792;0,49725;0,51449;0,49559;0,51615;
Time in payment in queue;1,2521349549582523;1,23172;1,27255;1,22781;1,27646;
Customers in parking lot;0,11882934849138538;0,11123;0,12643;0,10977;0,12789;
Time in parking lot;0,12587480479756682;0,11775;0,134;0,1162;0,13555;
Free clerks;5,636947475812765;5,62222;5,65168;5,6194;5,6545;
Free mechanics group 1;10,787194252756802;10,74503;10,82936;10,73695;10,83744;
Free mechanics group 2;7,604049715270088;7,57059;7,63751;7,56418;7,64392;
Labour costs;72500
Number of replications;1000
