Name;Mean;Lower 90% CI; Upper 90% CI; Lower 95% CI; Upper 95% CI;
Customers arrived;193,336;192,58604;194,08596;192,44244;194,22956;
Customers departed;192,814;192,05818;193,56982;191,91345;193,71455;
Customers in system;24,24437395109403;24,02975;24,459;23,98865;24,5001;
Time in system;59,884016536227335;59,53274;60,23529;59,46547;60,30256;
Customers in system at the end;0,522;0,33106;0,71294;0,29449;0,74951;
Customers in check in queue;3,0827772832446456;2,93041;3,23514;2,90123;3,26432;
Time in check in queue;7,3919253929430955;7,05108;7,73277;6,98581;7,79804;
Customers in payment queue;0,4771126921322889;0,46996;0,48426;0,46859;0,48563;
Time in payment in queue;1,186500109775901;1,16923;1,20377;1,16592;1,20708;
Customers in parking lot;0,9151989572205206;0,89578;0,93462;0,89206;0,93834;
Time in parking lot;1,7786716442479011;1,73901;1,81833;1,73142;1,82593;
Free clerks;7,5176810510544865;7,50307;7,53229;7,50027;7,53509;
Free mechanics group 1;2,771479202382786;2,74528;2,79768;2,74027;2,80269;
Free mechanics group 2;3,5057142672834454;3,4615;3,54993;3,45303;3,5584;
Labour costs;55200
Number of replications;1000
